Rank,NCT_Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor_Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
1,NCT02752334,Magnesium Sulphate in the Ultrasound-guided Supraclavicular Brachial Plexus Block,Recruiting,No Results Available,Pain,Drug: Magnesium Sulphate,Magrabi Eye & Ear Hospital,Both,Adult,Phase 2,60,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Diagnostic|Masking: Double Blind (Subject, Outcomes Assessor)",MEEC-IRB-2016-1,"March 3, 2016",Sep-15,May-16,"April 21, 2016",Mar-16,No Study Results Posted,Mg,Apr-16,The sensory block duration (the time interval between the end of local anesthetic administration and restoration of normal sensation) were evaluated as primary endpoint|the postoperative analgesic effects (the time interval between the end of local anesthetic administration and the first analgesia given) as a secondary endpoint.,https://ClinicalTrials.gov/show/NCT02752334
2,NCT02752282,"Anticipatory Counseling on LNG-IUS Continuation, Utilization and Satisfaction: A Pilot Study",Recruiting,No Results Available,Vaginal Bleeding|Uterine Cramping,Other: Anticipatory Counseling|Other: Cancer Screening Guidelines,University of Washington|Bayer|John H. Stroger Hospital,Female,Adult,,30,Other|Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single Blind (Subject),49648-EA,"April 15, 2016",Mar-16,Aug-17,"April 21, 2016",Apr-16,No Study Results Posted,ACCCUSS,Dec-16,"Change in LNG-IUS knowledge, satisfaction and continuation from baseline|Percent of subjects in Phase II who complete all 3 surveys on-time over 6 months compared by recruitment method and site|Number of subjects reporting LNG-IUS discontinuation during the study time frame (6 months) by reason for LNG-IUS removal|LNG-IUS user self-reported satisfaction with video counseling|LNG-IUS user self-reported LNG-IUS healthcare utilization during study period",https://ClinicalTrials.gov/show/NCT02752282
3,NCT02752269,Early Detection of Pulmonary- and Pulmonary Vascular Disease in SjÌ¦gren Syndrome,Recruiting,No Results Available,SjÌ¦gren Syndrome|Pulmonary Hypertension,,Medical University of Graz,Both,Adult|Senior,,100,Other,Observational,Time Perspective: Cross-Sectional,26-446 ex 13/14,"November 24, 2015",Oct-14,Oct-16,"April 22, 2016",Apr-16,No Study Results Posted,null,Oct-16,prevalence of pulmonary hypertension in SjÌ¦gren syndrome|forced vital capacity|systolic pulmonary arterial pressure at 50 Watts,https://ClinicalTrials.gov/show/NCT02752269
4,NCT02752256,Thrombolytic Care During Inter-hospital Transfer,Recruiting,No Results Available,Stroke,Drug: Tissue Plasminogen Activator,University of Iowa,Both,Adult|Senior,,70,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,IRB:201507803,"April 18, 2016",Oct-15,Oct-16,"April 22, 2016",Apr-16,No Study Results Posted,null,Oct-16,Percentage of participants with a rtPA protocol violation,https://ClinicalTrials.gov/show/NCT02752256
5,NCT02752243,CIK-Cells in Relapsing Patients With Acute Leukemia or Myelodysplastic Syndromes After SCT.,Recruiting,No Results Available,Myelodysplastic Syndromes|Acute Leukemia,Drug: CIK-Cells,Peter Bader|Johann Wolfgang Goethe University Hospitals,Both,Child|Adult|Senior,Phase 1|Phase 2,40,Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,FFM-CIK-Cell Study 01|2013-005446-11,"March 31, 2016",Mar-16,Mar-20,"April 22, 2016",Apr-16,No Study Results Posted,null,Mar-20,The occurrence of grade three or four acute Graft versus Host Disease (aGvHD)|Extensive chronic Graft versus Host Disease (cGvHD)|Efficacy of CIK-Cells analyzed by progression free survival|Overall survival,https://ClinicalTrials.gov/show/NCT02752243
6,NCT02752217,Effectiveness of Inspiratory Muscle Training With Slow Breathing in Elderly With ISH,Recruiting,No Results Available,Hypertension,Other: Inspiratory Muscle Training|Other: Control,Khon Kaen University,Both,Adult|Senior,,32,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject),HE 581469,"April 7, 2016",Mar-16,Sep-18,"April 25, 2016",Apr-16,No Study Results Posted,null,Jul-18,Change from baseline in Maximal inspiratory pressure (MIP)|Lung capacity|Exercise capacity|Chest wall expansion and abdominal expansion|Blood pressure (BP),https://ClinicalTrials.gov/show/NCT02752217
7,NCT02752204,An Evaluation AZD2014 Alone and in Combination With Rituximab in Relapsed/Refractory Diffuse Large B Cell Lymphoma,Recruiting,No Results Available,Diffuse Large B-Cell Lymphoma,Drug: AZD 2014|Drug: Rituximab,University of Birmingham|Bloodwise|AstraZeneca|Cancer Research UK,Both,Adult|Senior,Phase 2,36,Other|Industry,Interventional,Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,RG_14-212,"April 18, 2016",Oct-15,Nov-18,"April 22, 2016",Apr-16,No Study Results Posted,TORCH,Nov-17,"Best overall response rate (PR plus CR) (using the Revised Response Criteria for Malignant Lymphoma ) during the first 6 cycles|Tolerability rate (based on toxicity assessments using CTCAE v 4.0 criteria) of single agent AZD2014|Tolerability rate of additional toxicities when rituximab is combined with AZD2014 at its standard dose (stage 2 only)|Best overall response rate post 6 cycles until the end of the trial, assessed using Revised Response Criteria|Overall survival (OS) at 1 year|Progression free survival (PFS) at 1 year|Duration of response|Maximum % decrease in the radiological sum of the product of the diameters (SPD) from baseline by CT NCAP",https://ClinicalTrials.gov/show/NCT02752204
8,NCT02752191,Feraheme As An MRI Contrast Agent For Pediatric Congenital Heart Disease,Recruiting,No Results Available,Pediatric Congenital Heart Disease,Drug: ferumoxytol|Drug: gadofosveset,"Paul Finn|University of California, Los Angeles",Both,Child,Phase 4,120,Other,Interventional,Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Diagnostic|Masking: Open Label,16-00016,"April 15, 2016",Apr-16,null,"April 22, 2016",Apr-16,No Study Results Posted,null,Apr-21,Composite image quality score among 7 anatomical structures.|Image quality score at individual anatomical sites.|Incidence of adverse events,https://ClinicalTrials.gov/show/NCT02752191
9,NCT02752178,Peripheral Immunomarker Validation in Treatment-resistant Depression,Recruiting,No Results Available,"Depressive Disorder, Major",Other: MA|Other: DEP,"University of Cambridge|University of Oxford|University of Glasgow|University of Sussex|King's College London|Janssen, LP|H. Lundbeck A/S|GlaxoSmithKline",Both,Adult,,250,Other|Industry,Observational,Observational Model: Case Control|Time Perspective: Prospective,15/EE/0092,"March 16, 2016",Jun-15,Dec-17,"April 22, 2016",Apr-16,No Study Results Posted,BIODEP,Jun-17,"C-reactive protein (CRP) levels (mg/l)|Flow cytometric immunophenotype|Structural parameters of the brain|Response to stimulus|Microglial activation in the brain|Pro-inflammatory (M1-like) phenotype-producing cytokines, such as interleukin (IL)-1, IL-6, and tumor necrosis factor (TNF)-ë± circulating in cerebrospinal fluid",https://ClinicalTrials.gov/show/NCT02752178
10,NCT02752152,Counseling for HIV and STIs Screening,Recruiting,No Results Available,"HIV, Hepatitis B, Hepatitis C and Syphilis Infections",Behavioral: Computer-assisted counseling|Behavioral: On-demand counseling|Behavioral: Standard counseling,Institut de Recherche pour le Developpement|Chiang Mai University|Expertise France,Both,Adult|Senior,,1600,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,Lightning,"April 22, 2016",Dec-15,Feb-19,"April 22, 2016",Apr-16,No Study Results Posted,Lightning,Jan-19,Proportion of participants in at-risk populations coming for a HIV re-test,https://ClinicalTrials.gov/show/NCT02752152
11,NCT02752113,Effects of Empagliflozin Plus Linagliptin vs Metformin Plus Insulin Glargin on Renal and Vascular Changes in Type 2 Diabetes,Recruiting,No Results Available,Diabetes Mellitus Type 2,Drug: Empagliflozin and Linagliptin|Drug: Metformin and Insulin sc,Institut fÌ_r Pharmakologie und PrÌ_ventive Medizin|University of Erlangen-NÌ_rnberg Medical School,Both,Adult|Senior,Phase 3,100,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,IPPMed-2016-01-ELMI|2016-000242-57,"April 19, 2016",Apr-16,Jun-18,"April 21, 2016",Apr-16,No Study Results Posted,ELMI,Jun-17,"Effect of empagliflozin plus linagliptin vs metformin plus insulin glargin on basal NO activity of renal vasculature (response of RPF (renal plasma flow) to L-NMMA (NG-monomethyl-L-arginine) infusion)|Changes in oxidative stress level of renal vasculature (response of RPF to vitamin C infusion)|changes in intraglomerular resistances (Ra and Re) and Pglom|changes in albuminuria (urinary albumin to creatinine ratio [UACR]), assessed in the 24-hour urine",https://ClinicalTrials.gov/show/NCT02752113
12,NCT02752100,A Study on the Effects of Interventional Therapy in Patients With Lower Extremity Arterial Occlusive Disease and Its Risk Factors(EILRF),Recruiting,No Results Available,PAD,Procedure: Percutaneous transluminal angioplasty,Third Military Medical University,Both,Adult|Senior,,200,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,EILRF,"March 17, 2016",Mar-16,May-20,"April 21, 2016",Apr-16,No Study Results Posted,null,Feb-20,Ankle-brachial index|Mortality(%)|Incidence of amputation(%)|Incidence of major adverse cardiac events (MACE)(%)|High-sensitive C reactive protein(mg/L)|Fasting plasma glucose(mmol/L)|Blood pressure(mmHg)|HbA1c(%)|triglyceride(mmol/L)|total cholesterol(mmol/L)|LDL-c(mmol/L)|HDL-c(mmol/L)|The lower limb transcutaneous oxygen pressure(mmHg),https://ClinicalTrials.gov/show/NCT02752100
13,NCT02751866,Early Intervention in Cognitive Aging,Recruiting,No Results Available,"Overweight, Obesity and Other Hyperalimentation (E65-E68)",Dietary Supplement: Either berry fruit supplement OR nutritional ketosis|Dietary Supplement: Placebo powder OR higher carbohydrate diet,University of Cincinnati,Both,Adult,,100,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,2015-1256,"April 21, 2016",Jan-16,null,"April 21, 2016",Apr-16,No Study Results Posted,null,Jan-20,Insulin resistance|Cognitive function|Long term glucose concentration,https://ClinicalTrials.gov/show/NCT02751866
14,NCT02751827,Predicting Severe Toxicity of Targeted Therapies in Elderly Patients With Cancer,Recruiting,No Results Available,Cancer,Other: Blood sample,Institut BergoniÌ©|Agence Nationale de sÌ©curitÌ© du MÌ©dicament,Both,Senior,,300,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,IB 2015-02,"April 25, 2016",Feb-16,Feb-19,"April 25, 2016",Apr-16,No Study Results Posted,PreToxE,Feb-19,Toxicity|Non-progression|Progression-free survival (PFS),https://ClinicalTrials.gov/show/NCT02751827
15,NCT02751788,Physical Activity and Screen-Time Regulations in Childcare Centers - Aim 1,Recruiting,No Results Available,Childhood Obesity,,Pennington Biomedical Research Center|National Institute on Minority Health and Health Disparities (NIMHD),Both,Child,,10,Other|NIH,Observational,Observational Model: Case-Only|Time Perspective: Prospective,PBRC 2015-044|U54MD008602-P02UAB,"April 19, 2016",Apr-16,Sep-17,"April 21, 2016",Apr-16,No Study Results Posted,Pause and Play,Jul-17,Change in EPAO score and EPAO subscales.|Changes in practice-based survey items based on childcare director responses.,https://ClinicalTrials.gov/show/NCT02751788
16,NCT02751723,Assessment of Disease Burden and Palliative Care Needs of Patients During the Course of Incurable Cancer Disease,Recruiting,No Results Available,"Cancer Disease, Palliative Therapy",Other: validated questionnaires,"Florian Lordick, MD|University of Leipzig",Both,Adult|Senior,,500,Other,Observational,Time Perspective: Prospective,APM Project|DRKS00007536,"April 14, 2016",Sep-14,Sep-17,"April 21, 2016",Apr-16,No Study Results Posted,APM-Project,Sep-17,Change from Baseline Patientå«s answers regarding symptom burden at 12 months|Change from Baseline physicianå«s report at 12 months|Change from Baseline Patientå«s answers regarding symptom burden at 6 months|Change from Baseline physicianå«s report at 6 months|Change from Baseline Patientå«s answers regarding symptom burden at 3 months|Change from Baseline physicianå«s report at 3 months,https://ClinicalTrials.gov/show/NCT02751723
17,NCT02751606,Nano MRI on 7 Tesla in Rectal and Breast Cancer,Recruiting,No Results Available,Rectal Neoplasms|Breast Neoplasms,Drug: ferumoxtran-10|Device: 7 Tesla MRI|Device: 3 Tesla MRI,Radboud University,Both,Adult|Senior,Phase 3,30,Other,Interventional,Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Diagnostic|Masking: Open Label,7TNANO1,"November 28, 2014",Jun-15,null,"April 21, 2016",Apr-16,No Study Results Posted,null,Sep-16,Sensitivity and specificity of 7 Tesla MRI in combination with ferumoxtran-10 on nodal level.|Comparison of 7 Tesla and 3 Tesla MRI,https://ClinicalTrials.gov/show/NCT02751606
